"id","nome","idade","turma","nota","cidade","laboratorio"
"1","Ana Souza","19","Info A","8.5","Camaragibe","Laboratório B4"
"2","Bruno Lima","20","Administração A","7","Camaragibe","Laboratório B4"
"3","Carla Santos","18","Info A","9.2","Camaragibe","Laboratório B4"
"4","Diego Alves","22","Info B","6.8","Camaragibe","Laboratório B4"
"5","Elisa Rocha","21","Administração A","8.9","Camaragibe","Laboratório B4"
"6","Felipe Melo","20","Redes A","5.7","Camaragibe","Laboratório B4"
"7","Gabriela Costa","19","Info A","9.7","Camaragibe","Laboratório B4"
"8","Henrique Silva","23","Redes A","7.5","Camaragibe","Laboratório B4"
"9","Igor Martins","18","Info B","8.1","Camaragibe","Laboratório B4"
"10","Joana Ferreira","19","Redes A","7.8","Camaragibe","Laboratório B4"
"11","Lucas Pereira","21","Administração A","6.5","São Lourenço","Laboratório B5"
"12","Mariana Lopes","20","Info A","9.4","São Lourenço","Laboratório B5"
"13","Nicolas Gomes","22","Redes A","3.8","São Lourenço","Laboratório B5"
"14","Olívia Ramos","18","Info A","8.3","null","null"
"15","Paulo Mendes","20","Redes A","7.1","São Lourenço","Laboratório B5"
"16","Renata Lima","19","Administração A","9","São Lourenço","Laboratório B5"
"17","Samuel Barros","21","Info B","4.9","São Lourenço","Laboratório B5"
"18","Tatiana Nunes","22","Administração B","6.2","São Lourenço","Laboratório B5"
"19","Vinícius Araújo","20","Redes B","8.8","São Lourenço","Laboratório B5"
"20","Wesley Cardoso","19","Info B","5.4","São Lourenço","Laboratório B5"
"21","Aline Monteiro","18","Administração B","7.6","null","null"
"22","Beatriz Cavalcanti","20","Info A","9.1","null","null"
"23","Caio Dantas","23","Redes B","4.3","null","null"
"24","Daniela Freitas","21","Administração A","8","null","null"
"25","Eduardo Tavares","19","Info B","6.9","null","null"
"26","Fernanda Queiroz","18","Redes A","7.9","null","null"
"27","Gustavo Moura","22","Administração B","5.8","null","null"
"28","Helena Paiva","20","Info A","9.6","null","null"
"29","Isabela Castro","19","Redes B","8.4","null","null"
"30","José Roberto","24","Administração A","6","null","null"
"31","Karen Albuquerque","18","Info B","7.3","null","null"
"32","Leandro Farias","21","Redes A","2.9","null","null"
"33","Mônica Ribeiro","20","Administração B","8.7","null","null"
"34","Natália Pires","19","Info A","5.1","null","null"
"35","Otávio Correia","22","Redes B","7.7","null","null"
"36","Priscila Andrade","21","Administração A","9.3","null","null"
"37","Rafael Batista","20","Info B","6.7","null","null"
"38","Sabrina Oliveira","18","Redes A","8.2","null","null"
"39","Thiago Moreira","23","Administração B","4.7","null","null"
"40","Vitória Fernandes","19","Info A","9.8","null","null"
"45","Nicolas Gomes","22","Redes A","4.8","São Lourenço","Laboratório B5"
"45","Nicolas Gomes","22","Redes A","4.8","São Lourenço","Laboratório B5"
